"Número Licitação";"Número Processo";"Objeto";"Modalidade Compra";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000012018";"64063000675201834";"Objeto: Obra de Reforma do Pavilhão do Almoxarifado do 35º Batalhão de Infantaria, mediante o regime empreitada por preço unitário, conforme especificações constantes no Projeto Básico nº 01/2018/SRO 6ª RM   ANEXO I do Edital.";"Tomada de Preços";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160028";"35 BATALHAO DE INFANTARIA";"FEIRA DE SANTANA";"30/01/2019";"";"475833,1500"
"000012018";"64304003485201899";"Objeto: A escolha da proposta mais vantajosa para a contratação de empresa especializada para execução de serviço não comum de engenharia para a adaptação das instalações elétricas do Pavilhão de Comando do Comando da 10ª Brigada de Infantaria Motorizada, mediante o regime empreitada por preço unitário, conforme especificações constantes no Projeto Básico 41/2018   CRO/7   ANEXO I, que é parte integrante do Edital.";"Tomada de Preços";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160193";"COMANDO 10 BRIGADA DE INFANTARIA MOTORIZADA";"RECIFE";"09/01/2019";"";"187173,4700"
"000012018";"64305021696201801";"Objeto: Obra de reforma das fachadas do Edificio General Tibúrcio";"Tomada de Preços";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160047";"COMANDO 10ª REGIAO MILITAR";"FORTALEZA";"30/01/2019";"";"560333,8600"
"000012018";"64549002026201815";"Objeto: Contratação dos serviços das Organizações Civis de Saúde OCS e Profissionais de Saúde Autônomos PSA, visando aprestação de serviços de assistência médico-hospitalar, ambulatorial, odontológica, reabilitação, atendimento pré hospitalar móvel e assistência domiciliar para complementação do atendimento aos beneficiários do SAMMED/FuSEx, vinculados ao 14º GAC,na Guarnição Militar de Pouso Alegre MG";"Inexigibilidade de Licitação";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160123";"14 GRUPO DE ARTILHARIA DE CAMPANHA";"POUSO ALEGRE";"04/01/2019";"";"9640500,0000"
"000012018";"64571.004622/2018";"Objeto: Pregão Eletrônico -  Serviço de corte de cabelo (Concessão de bem imóvel sob forma de cessão de uso para o funcionamento de Barbearia).";"Pregão";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160469";"2º GRUPO DE ARTILHARIA DE CAMPANHA LEVE";"ITU";"14/01/2019";"04/10/2018";"26,0000"
"000012018";"64594001604201851";"Objeto: Prestação de serviço na especialidade de oftalmologia";"Inexigibilidade de Licitação";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160416";"HOSPITAL GERAL DE SANTA MARIA";"SANTA MARIA";"30/01/2019";"";"10000000,0000"
"000012018";"65314012933201899";"Objeto: Prestação de serviços médicos hospitalares, ambulatoriais,laboratoriais e odontológicos aos usuários do SAMMED/FUSEx, PASS e SAMEx-Cmb.";"Inexigibilidade de Licitação";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160226";"34 BATALHAO DE INFANTARIA MECANIZADO";"FOZ DO IGUACU";"09/01/2019";"";"144000,0000"
"000012018";"65315010773201833";"Objeto: Readequação do Tapiri de Instrução do 6º Batalhão de Polícia do Exército.";"Tomada de Preços";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160034";"6º BATALHÃO DE POLÍCIA DO EXÉRCITO";"SALVADOR";"24/01/2019";"";"71219,4900"
"000012018";"80611005388201813";"Objeto: A presente licitação tem por objeto a recuperação do piso de concreto do pátio de formatura do 6º D Sup, mediante o regime empreitada por preço global, conforme especificações constantes no Projeto Básico   ANEXO I, que é parte integrante deste Edital.  4.2. A licitação será dividida em itens (ou grupos), conforme tabela constante do Projeto Básico   ANEXO I, facultando-se ao licitante a participação em quantos itens (ou grupos) forem de seu interesse, sagrando-se vencedor o licitante que ofertar o menor";"Tomada de Preços";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160038";"6º DEPÓSITO DE SUPRIMENTO";"SALVADOR";"29/01/2019";"";"331960,7200"
"000012018";"8915/2018";"Objeto: Pregão Eletrônico -  O objeto da presente licitação é o registro de preços de material médico hospitalar, conforme condições, quantidades, exigências e estimativas encaminhadas pelas unidades de saúde, estabelecidas neste instrumento, por um período de 12 (doze) meses.";"Pregão - Registro de Preço";"Evento de Retificação Divulgad";"99900";"República Federativa do Brasil";"93420";"Estado do Pará";"927248";"FUNDO MUNICIPAL DE SAÚDE DE ANANINDEUA";"Inválido";"29/01/2019";"30/11/2018";"71311,6900"
"000012019";"00000008088720180";"Objeto: Contratação de empresa para serviço de manutenção de Ar condicionados.";"Dispensa de Licitação";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160019";"HOSPITAL DE GUARNICAO DE TABATINGA";"TABATINGA";"23/01/2019";"";"8100,0000"
"000012019";"000001/2019-EsAO";"Objeto: Prestação de serviço de fornecimento de energia elétrica";"Dispensa de Licitação";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160311";"ESCOLA DE APERFEICOAMENTO DE OFICIAIS";"RIO DE JANEIRO";"30/01/2019";"";"420037,8800"
"000012019";"000002/2019-EsAO";"Objeto: Fornecimento de água e coleta de esgoto.";"Inexigibilidade de Licitação";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160311";"ESCOLA DE APERFEICOAMENTO DE OFICIAIS";"RIO DE JANEIRO";"30/01/2019";"";"28800,0000"
"000012019";"00000531/2019-54";"Objeto: Despesas hospitalares em caráter de urgência/emergência.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160177";"71 BATALHAO DE INFANTARIA MOTORIZADO";"GARANHUNS";"23/01/2019";"";"7751,8800"
"000012019";"00001/01/2019";"Objeto: Contratação de serviço de buffet para atender solenidade de passagem de função do Chefe do Estado Maior do Comando do GUEs/9ª Bda Inf Mtz.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160295";"CMDO GRUPAMENTO UNID.ESCOLA/9ª BDA INF MTZ";"RIO DE JANEIRO";"11/01/2019";"";"9000,0000"
"000012019";"00001/2019";"Objeto: Aquisição de Token para atender necessidades do CPOR/CMBH.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160523";"CENTRO DE PREP. DE OFICIAIS DA RESERVA DE BH";"BELO HORIZONTE";"24/01/2019";"";"656,2600"
"000012019";"00001003368201857";"Objeto: Publicação de Atos Oficiais no Diário Oficial da União.";"Inexigibilidade de Licitação";"Publicado";"20000";"Presidência da República";"20101";"Presidência da República";"110001";"SECRETARIA ESPECIAL DE ADMINISTRACAO/PR";"BRASILIA";"09/01/2019";"";"101961,4400"
"000012019";"000049/2019-IMBEL";"Objeto: Serviço de manutenção e conserto de fragmentadora de papel.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52221";"Indústria de Material Bélico do Brasil";"168003";"INDUSTRIA DE MATERIAL BELICO DO BRASIL - GAB";"BRASILIA";"25/01/2019";"";"700,0000"
"000012019";"000055/2019-IMBEL";"Objeto: Prestação de Serviço de Seguro obrigatório para 6 (seis) veículos da IMBEL/SEDE.";"Inexigibilidade de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52221";"Indústria de Material Bélico do Brasil";"168003";"INDUSTRIA DE MATERIAL BELICO DO BRASIL - GAB";"BRASILIA";"29/01/2019";"";"97,2600"
"000012019";"00005679/2019-96";"Objeto: Prestação de serviço PJ - Serviço  de buffet para passagem de comando";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160268";"2 CIRCUNSCRICAO DE SERVICO MILITAR";"NITEROI";"22/01/2019";"";"16000,0000"
"000012019";"0001";"Objeto: Contratação Anual de serviço de fornecimento de água e coleta de esgoto.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160365";"HOSPITAL DE GUARNICAO DE BAGE";"BAGE";"17/01/2019";"";"1075,2500"
"000012019";"000173/2019-38";"Objeto: Aquisição de Material de Consumo - Medicamentos.";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26245";"Universidade Federal do Rio de Janeiro";"153155";"MATERNIDADE ESCOLA DA UFRJ";"RIO DE JANEIRO";"08/01/2019";"";"3775,8000"
"000012019";"0003";"Objeto: Contrato fornecimento de água e coleta de esgoto 2019";"Inexigibilidade de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160365";"HOSPITAL DE GUARNICAO DE BAGE";"BAGE";"17/01/2019";"";"7044,2300"
"000012019";"000475/2019-25";"Objeto: Fornecimento de energia elétrica";"Inexigibilidade de Licitação";"Encerrado";"26000";"Ministério da Educação";"26236";"Universidade Federal Fluminense";"153001";"SUBCOORD.DA UNID.AVANC.J.VERISSIMO";"ORIXIMINA";"28/01/2019";"";"16000,0000"
"000012019";"000478/2019-69";"Objeto: Frango em partes congeladas";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26236";"Universidade Federal Fluminense";"153001";"SUBCOORD.DA UNID.AVANC.J.VERISSIMO";"ORIXIMINA";"28/01/2019";"";"13200,0000"
"000012019";"00058042527201883";"Objeto: Certificação do Centro de Treinamento desta Agência Reguladora, localizado em Brasília-DF, no intuito de garantir a sua permanência no programa TRAINAIR PLUS, pelo período de 01/2019 a 12/2019, conforme exposto no Projeto Básico (SEI! 2505139).";"Inexigibilidade de Licitação";"Publicado";"39000";"Ministério da Infraestrutura";"62201";"Agência Nacional de Aviação Civil";"113214";"AGENCIA NACIONAL DE AVIACAO CIVIL";"BRASILIA";"15/01/2019";"";"46460,7000"
"000012019";"00058518356201796";"Objeto: Pregão Eletrônico -  Serviços contínuos de impressão corporativa - outsourcing de impressão - compreendendo impressão, reprodução de cópias e digitalização, com a disponibilização de equipamentos e insumos/consumíveis, inclusive suprimentos, peças, suporte, manutenção e sistema de gerenciamento de impressões e bilhetagem, a fim de atender as necessidades da Agência Nacional de Aviação Civil (ANAC).";"Pregão";"Evento de Resultado de Julgame";"39000";"Ministério da Infraestrutura";"62201";"Agência Nacional de Aviação Civil";"113214";"AGENCIA NACIONAL DE AVIACAO CIVIL";"BRASILIA";"14/01/2019";"07/01/2019";"1542907,2000"
"000012019";"00065059326201826";"Objeto: Aquisição de cafeteira elétrica - especificações mínimas: jarra de aço escovado ou aço inox, com capacidade total de no mínimo de 15 xícaras de 50 ml cada; placa de aquecimento; porta filtro; sistema corta pingos; o produto devera ser fornecido com o novo padrão de plugue conforme normas vigentes da ABNT; tensão 220 volts. Garantia mínima de 1 ano, com assistência técnica prestada na cidade do Rio de Janeiro. Embalagem com dados de identificação do produto e marca do fabricante";"Dispensa de Licitação";"Encerrado";"39000";"Ministério da Infraestrutura";"62201";"Agência Nacional de Aviação Civil";"113216";"REPRESENTAÇÃO REGIONAL RIO DE JANEIRO - ANAC";"RIO DE JANEIRO";"24/01/2019";"17/01/2019";"356,3800"
"000012019";"0006598-39.2018";"Objeto: Pregão Eletrônico -  Formação de registro de preços com vistas à futura e eventual aquisição de materiais permanentes (eletro-eletrônico e eletrodoméstico) para atender as necessidades do TJAC.";"Pregão - Registro de Preço";"Divulgado";"99900";"República Federativa do Brasil";"93120";"Estado do Acre";"925509";"TRIBUNAL DE JUSTIÇA DO ESTADO DO ACRE";"Inválido";"30/01/2019";"10/01/2019";"1233,0000"
"000012019";"00066.000644/2019";"Objeto: Aquisição de 1.200 (mil e duzentas) caixas arquivo para o almoxarifado da Representação Regional de São Paulo e São José dos Campos.";"Dispensa de Licitação";"Encerrado";"39000";"Ministério da Infraestrutura";"62201";"Agência Nacional de Aviação Civil";"113217";"REPRESENTAÇÃO REGIONAL SÃO PAULO_- ANAC";"SAO PAULO";"16/01/2019";"14/01/2019";"2748,0000"
"000012019";"00068000031201902";"Objeto: Contratação do serviço de publicação do Aviso de Chamamento Público, em jornal de grande circulação no munícipio de Porto Alegre, conforme a demanda da Coordenação de Administração e Finanças da SAF em Porto Alegre - CAFPOA, referente à locação de imóvel para o NURAC Porto Alegre.";"Dispensa de Licitação";"Encerrado";"39000";"Ministério da Infraestrutura";"62201";"Agência Nacional de Aviação Civil";"113219";"NÚCLEO REG. DE AVIAÇÃO CIVIL DE PORTO ALEGRE";"PORTO ALEGRE";"17/01/2019";"";"480,0000"
"000012019";"00068004415201309";"Objeto: Prestação de serviços de fornecimento de água, recepção e tratamento de esgoto para o Núcleo Regional de Aviação Civil de Porto Alegre, localizado na Av. Severo Dullius, nº 1.244, Bairro São João, Porto Alegre/RS.";"Inexigibilidade de Licitação";"Encerrado";"39000";"Ministério da Infraestrutura";"62201";"Agência Nacional de Aviação Civil";"113219";"NÚCLEO REG. DE AVIAÇÃO CIVIL DE PORTO ALEGRE";"PORTO ALEGRE";"17/01/2019";"";"12375,1800"
